"File","SHA256","Size","Timestamp"
"accessibility-findings.csv","7f3544bf23c3ee39800e0238202f10f0997997492ab17bb687dc61d0db09524a","2887","2026-09-14T13:24:07.671Z"
"artifact-classification.csv","ed0008f359c584160359cc009724d7bc98c0b96245826fff9d80bd8149b0567d","172712","2026-09-14T13:24:10.337Z"
"blocked-tests.csv","b94678a20cf29539ba29ea4ad436eed754326951c471a548bb0c4e536c786f70","64802","2026-09-14T13:24:07.609Z"
"console-findings.csv","7d013dd9d7765d12493ce0128e628cccc756a5d078442b8be11734fb7d0d7717","10855","2026-09-14T13:24:07.692Z"
"coverage-summary.csv","6f6b19ecbad1291dfb3da7fe2ee1068b88fcf0d6967f5c4f8a042d18fd886948","400","2026-09-14T13:24:07.642Z"
"current-runtime-checks.csv","8a27e33bfd6b6487a8506b108809526c3f535ef90c1412a58458bd3a719a8dec","28156","2026-09-14T13:24:07.638Z"
"defects-fixed.csv","878bdfafd1d4b50040be4ba0b2b73dc4ee1770777700bfe110e7815a47eb1469","2571","2026-09-14T13:24:07.654Z"
"defects-new.csv","cfbe76b79ac07e2ff1a328810f83f3aaf97b479155fe5318301b27eb721533df","2026","2026-09-14T13:24:07.663Z"
"defects-still-open.csv","153bfc3d76d95c28d5eaa0bf9b8c88fbdeae5cf7d0df1ee1cab8ad994e441a59","4303","2026-09-14T13:24:07.656Z"
"delta-summary.csv","538cf6c23d325b2b7f9fea1c22c21d09e264ffd50d7dcdcdd156a1aede2d5d4c","484","2026-09-14T13:24:07.650Z"
"environment-evidence.json","f8f253abf5f928f6326073b841964d5ed51bf5d7ab8d45072d82611c8387ffcd","1646","2026-09-14T13:24:07.741Z"
"evidence-index.md","2fb939918339898ed1292f446bd5ccb6b0b87748665a128f7b51808c8c626ada","755","2026-09-14T13:24:10.360Z"
"FIXKART_LOCAL_REGRESSION_RETEST_REPORT.md","0b1b695b78fa607934f9ddd9f5db77a7c4efaa621bfd2a0fd04a2845a53d354a","11338","2026-09-14T13:24:10.354Z"
"historical-claims-reconciliation.csv","3064f7326d327b9e4cb9de6af59960efc1e25c0bb5a08710f9b414b4b70c1bdc","540","2026-09-14T13:24:10.345Z"
